"CATSFX","GENUS","SPECIES","SUBSPECIES","AGE","SEX","DATE","COUNTRY","STATE","COUNTY","SPECLOC","COLLCATNUM"
28578,"Melospiza","melodia","insignis","AD","M","01 Jul 2011","USA","Alaska","Kodiak Archipelag","Barren Is., Ushagat I.","JJW1142"
35663,"Melospiza","melodia","insignis","AHY","M","01 Mar 2014","USA","Alaska","Kodiak Archipelag","Kalsin Bay, Queer Island","JJW2468"
38749,"Melospiza","melodia","insignis","AHY","M","25 May 2016","USA","Alaska","Kodiak Archipelag","Kalsin Bay, Svitlak Island","JJW3165"
30366,"Melospiza","melodia","insignis","AHY","M","16 May 2012","USA","Alaska","Kodiak Archipelag","Kodiak city, K.I.M.A.","JJW1465"
28552,"Melospiza","melodia","insignis","AD","M","19 May 2011","USA","Alaska","Kodiak Archipelag","Monashka Bay, Jack's yard","JJW1095"
30814,"Melospiza","melodia","insignis","AHY","M","03 Jan 2013","USA","Alaska","Kodiak Archipelag","Narrow Cape","JJW1862"
28549,"Melospiza","melodia","insignis","AD","M","24 May 2011","USA","Alaska","Kodiak Archipelag","Puffin I. (mouth of Womens Bay)","JJW1120"
35664,"Melospiza","melodia","insignis","AHY","M","07 Jun 2014","USA","Alaska","Kodiak Archipelag","Shuyak I., between Western Inlet and Wonder Bay","JJW2455"
35666,"Melospiza","melodia","insignis","AD","M","07 Jun 2014","USA","Alaska","Kodiak Archipelag","Shuyak I., between Western Inlet and Wonder Bay","JJW2457"
31498,"Melospiza","melodia","insignis","AHY","M","25 May 2013","USA","Alaska","Kodiak Archipelag","Triplet Islands, southern most island","JJW1992"
11182,"Melospiza","melodia","caurina","AHY","M","02 May 2000","USA","Alaska","Copper R Delta","Alaganik Slough","UAMX1106"
11180,"Melospiza","melodia","caurina","AHY","M","02 May 2000","USA","Alaska","Copper R Delta","Alaganik Slough Rd.","UAMX1103"
11223,"Melospiza","melodia","caurina","AHY","M","13 May 1999","USA","Alaska","Copper R Delta","Alaganik Slough Road","CLP023"
11103,"Melospiza","melodia","caurina","AHY","M","03 May 2000","USA","Alaska","Copper R Delta","Alaganik Slough Road","UAMX1122"
11101,"Melospiza","melodia","caurina","AHY","M","02 May 2000","USA","Alaska","Copper R Delta","Alaganik Slough Road","UAMX1102"
11231,"Melospiza","melodia","caurina","AD","M","14 May 1999","USA","Alaska","Copper R Delta","Alaganik Slough Road","CLP026"
11104,"Melospiza","melodia","caurina","AHY","M","03 May 2000","USA","Alaska","Copper R Delta","Alaganik Slough Road","UAMX1121"
11141,"Melospiza","melodia","caurina","AHY","M","04 May 2000","USA","Alaska","Copper R Delta","Hartney Bay","UAMX1141"
11361,"Melospiza","melodia","caurina","AHY","M","13 May 1999","USA","Alaska","Copper River Delt","Alaganik Slough Rd","CLP022"
11382,"Melospiza","melodia","caurina","AHY","M","11 May 1999","USA","Alaska","Copper River Delt","Copper River Delta","CLP008"
11384,"Melospiza","melodia","caurina","AHY","M","12 May 1999","USA","Alaska","Copper River Delt","Copper River Delta","CLP020"
11383,"Melospiza","melodia","caurina","AHY","M","12 May 1999","USA","Alaska","Copper River Delt","Copper River Delta","CLP018"
30365,"Melospiza","melodia","caurina","AHY","M","22 Apr 2012","USA","Alaska","Prince Wm Sound","Valdez, harbor area","JJW1608"
30364,"Melospiza","melodia","caurina","AHY","M","22 Apr 2012","USA","Alaska","Prince Wm Sound","Valdez, harbor area, 61.1278oN 146.3372oW","JJW1585"
14941,"Melospiza","melodia","caurina","AD","M","20 May 2002","USA","Alaska","Prince Wm Sound","Valdez, Robe Lake","UAMX2530"
10652,"Melospiza","melodia","caurina","AHY","M","02 May 2000","USA","Alaska","Southeast","Copper River Delta","UAMX1104"
11046,"Melospiza","melodia","caurina","AD","M","03 May 2000","USA","Alaska","","Copper River Delta","UAMX1124"
13944,"Melospiza","melodia","rufina","AHY","M","25 Jun 2001","USA","Alaska","Alexander Archipe","Gravina Island","UAMX1843"
13438,"Melospiza","melodia","rufina","AD","M","26 Jun 2001","USA","Alaska","Alexander Archipe","Gravina Island","UAMX1856"
13886,"Melospiza","melodia","rufina","AD","M","26 Jun 2001","USA","Alaska","Alexander Archipe","Gravina Island","UAMX1850"
13941,"Melospiza","melodia","rufina","AHY","M","25 Jun 2001","USA","Alaska","Alexander Archipe","Gravina Island","UAMX1844"
13916,"Melospiza","melodia","rufina","AD","M","25 Jun 2001","USA","Alaska","Alexander Archipe","Gravina Island","UAMX1849"
13915,"Melospiza","melodia","rufina","AD","M","27 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1877"
13943,"Melospiza","melodia","rufina","AHY","M","27 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1864"
13945,"Melospiza","melodia","rufina","AHY","M","30 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1921"
13913,"Melospiza","melodia","rufina","AD","M","27 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1866"
15193,"Melospiza","melodia","rufina","AD","M","29 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1903"
13463,"Melospiza","melodia","rufina","AD","M","29 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1909"
13938,"Melospiza","melodia","rufina","AD","M","28 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1896"
13953,"Melospiza","melodia","rufina","AHY","M","28 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1888"
15086,"Melospiza","melodia","rufina","AHY","M","29 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1914"
14658,"Melospiza","melodia","rufina","AHY","M","29 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1911"
13952,"Melospiza","melodia","rufina","AD","M","28 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1895"
