CATSFX,GENUS,SPECIES,SUBSPECIES,HYBRIDTYPE,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLECTOR,CFIRSTNAME,COLLCATNUM,PREPARATOR,PFIRSTNAME,MASS,BODYCOND,REMARKS,DISPOS,AVAIL,SKINMEAS,EDWARDS,LATDEG,LATMIN,LONDEG,LONMIN
31124,Melospiza,melodia,insignis,,U,M,20 Dec 2012,USA,Alaska,Kodiak Archipelag,Deadman Bay,Withrow,Jack J,JJW1836,Withrow,Jack J,48,Fat:heavy; TE:3x2; SK:100% oss.; Molt:none;,lone bird at brush beach interface; prep. 27 Feb 2012;,1030,,WCH:81.8; TL:81.0; TS:26.0; BL:11.8; BLH:6.0; BLW:5.4; SKL:38.0;,Z65c050,,,,
29532,Melospiza,melodia,insignis,,AHY,F,03 Jan 2012,USA,Alaska,Kodiak Archipelag,Kaguyak Bay,Withrow,Jack J,JJW1404,Withrow,Jack J,44,Fat:light; OV:3x2; SK:100% oss.;,HAB:beach; one of several in area; prep. 21 Feb 2012; gut saved;,1030,,WCH:79.0; TL:74.6; TS:25.4; BL:11.5; BLH:6.9; BLW:5.4; SKL:36.5;,Z65c050,,,,
29536,Melospiza,melodia,insignis,,U,F,21 Dec 2011,USA,Alaska,Kodiak Archipelag,"Kalsin Bay, Middle I.",Withrow,Jack J,JJW1344,Withrow,Jack J,39,"Fat:light; OV:5x5, flat; SK:100% oss.; Molt:none;","HAB:intertidal; one of several on island, see JJW1344; prep. 1 Mar 2012;",1220,,WCH:74.3; TL:67.9; TS:25.1; BL:11.0; BLH:6.2; BLW:5.3; SKL:36.8;,Z65c050,,,,
29535,Melospiza,melodia,insignis,,U,M,21 Dec 2011,USA,Alaska,Kodiak Archipelag,"Kalsin Bay, Middle I.",Withrow,Jack J,JJW1345,Withrow,Jack J,45,Fat:light; TE:1x1; SK:100% oss.; Molt:none;,HAB:intertidal; prep. 28 Feb 2012;,1220,,WCH:79.6; TL:75.7; TS:25.7; BL:12.0; BLH:6.5; BLW:5.4; SKL:37.7;,Z65c050,,,,
35663,Melospiza,melodia,insignis,,AHY,M,01 Mar 2014,USA,Alaska,Kodiak Archipelag,"Kalsin Bay, Queer Island",Withrow,Jack J,JJW2468,Withrow,Jack J,43,Fat:light; TE:4x3; SK:100% oss.;,on beach with two others; gut saved; prep. 7 July 2014;,1230,,WCH:84.0; TL:82.5; TS:26.9; BL:11.4; BLH:6.3; BLW:5.2; SKL:37.4;,Z65c050,,,,
29534,Melospiza,melodia,insignis,,U,M,21 Dec 2011,USA,Alaska,Kodiak Archipelag,"Kalsin Bay, Svitlack I.",Withrow,Jack J,JJW1345,Withrow,Jack J,42,Fat:light; OV:4x3; SK:100% oss.; Molt:none;,prep. 29 Feb 2012; HAB:intertidal; prep. 29 Feb 2012;,1220,,WCH:77.5; TL:75.6; TS:25.9; BL:10.9; BLH:6.6; BLW:5.3; SKL:36.7;,Z65c050,,,,
38750,Melospiza,melodia,insignis,,AHY,F,25 May 2016,USA,Alaska,Kodiak Archipelag,"Kalsin Bay, Svitlak Island",Withrow,Jack J,JJW3166,Withrow,Jack J,42.5,"Fat:very light; OV:9x9, oviduct large; SK:oss.;",paired with JJW3165; incubation patch; off nest with 3 eggs (saved); gut saved; prep. 1 June 2016;,1230,,WCH:76.4; TL:71.5; TS:27.5; BL:12.0; BLH:6.8; BLW:5.6; SKL:37.5;,Z65c050,,,,
38749,Melospiza,melodia,insignis,,AHY,M,25 May 2016,USA,Alaska,Kodiak Archipelag,"Kalsin Bay, Svitlak Island",Withrow,Jack J,JJW3165,Withrow,Jack J,41,Fat:light; TE:11x6; SK:oss.; Molt:none;,HAB:grassy area near high tide line; paired with JJW3166; nest with 3 eggs (eggs saved); gut saved; prep. 12 Aug 2016;,1220,,WCH:82.5; TL:79.4; TS:27.3; BL:12.6; BLH:6.3; BLW:5.5; SKL:38.1;,Z65c050,,,,
30366,Melospiza,melodia,insignis,,AHY,M,16 May 2012,USA,Alaska,Kodiak Archipelag,"Kodiak city, K.I.M.A.",Withrow,Mark E,JJW1465,Withrow,Jack J,39,Fat:trace; TE:10x5; SK:100% oss.;,snap trapped; prep. 3 Aug 2012;,1220,,WCH:78.9; TL:74.7; TS:25.6; BL:12.3; BLH:6.2; BLW:5.3; SKL:38.6;,Z65c050,,,,
12139,Melospiza,melodia,insignis,T,HY,M,18 Sep 1999,USA,Alaska,Kodiak Archipelag,Kodiak Island,Pruett,Christin L,CLP391,Pruett,Christin L,39.8,fat:none;te:l:1.9x1.0;sk:10%oss.;molt:none;stom:insects and vegetation,hab:rocky beach,1230,,wch:79.6;tl:69.4;ts:24.3;bl:11.4;blh:6.6;blw:5.5;skl:37.2,Z65c050,,,,
